,Comuna 1,Comuna 10,Comuna 11,Comuna 12,Comuna 13,Comuna 14,Comuna 15,Comuna 16,Comuna 2,Comuna 3,Comuna 4,Comuna 5,Comuna 6,Comuna 7,Comuna 8,Comuna 9,Corregimiento 50,Corregimiento 60,Corregimiento 70,Corregimiento 80,Corregimiento 90,Fecha
32,4.0,25.0,3.0,0.0,6.0,2.0,4.0,7.0,2.0,6.0,9.0,4.0,0.0,2.0,6.0,4.0,0.0,3.0,1.0,2.0,0.0,2015-02-02
33,4.0,24.0,4.0,0.0,3.0,4.0,3.0,5.0,1.0,4.0,1.0,4.0,1.0,2.0,6.0,2.0,0.0,2.0,2.0,0.0,0.0,2015-02-03
34,4.0,19.0,5.0,0.0,1.0,4.0,5.0,3.0,0.0,8.0,1.0,1.0,0.0,1.0,6.0,1.0,0.0,0.0,1.0,1.0,0.0,2015-02-04
35,5.0,18.0,4.0,1.0,6.0,2.0,4.0,3.0,2.0,9.0,6.0,3.0,1.0,1.0,3.0,2.0,0.0,1.0,0.0,2.0,1.0,2015-02-05
36,4.0,27.0,2.0,1.0,1.0,2.0,3.0,4.0,1.0,3.0,2.0,2.0,2.0,1.0,4.0,3.0,0.0,0.0,0.0,2.0,0.0,2015-02-06
37,6.0,24.0,1.0,1.0,3.0,17.0,5.0,4.0,0.0,5.0,2.0,5.0,1.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,2015-02-07
38,2.0,11.0,5.0,1.0,0.0,9.0,6.0,5.0,3.0,4.0,2.0,3.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,2015-02-08
39,6.0,15.0,2.0,1.0,1.0,1.0,7.0,3.0,1.0,1.0,5.0,3.0,1.0,2.0,4.0,3.0,0.0,1.0,0.0,0.0,0.0,2015-02-09
40,6.0,13.0,1.0,1.0,1.0,1.0,2.0,5.0,2.0,2.0,4.0,9.0,1.0,1.0,4.0,2.0,0.0,0.0,0.0,1.0,0.0,2015-02-10
41,3.0,19.0,3.0,0.0,0.0,0.0,1.0,4.0,2.0,2.0,8.0,1.0,1.0,0.0,8.0,7.0,0.0,0.0,0.0,2.0,1.0,2015-02-11
42,7.0,28.0,3.0,1.0,0.0,6.0,8.0,2.0,1.0,6.0,4.0,1.0,0.0,1.0,1.0,5.0,1.0,1.0,0.0,2.0,0.0,2015-02-12
43,5.0,17.0,3.0,0.0,0.0,8.0,4.0,1.0,0.0,6.0,6.0,1.0,2.0,1.0,5.0,3.0,1.0,1.0,0.0,1.0,0.0,2015-02-13
44,5.0,17.0,2.0,5.0,2.0,5.0,10.0,5.0,2.0,3.0,3.0,0.0,3.0,2.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,2015-02-14
45,6.0,18.0,2.0,3.0,2.0,2.0,6.0,4.0,0.0,6.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,2015-02-15
46,2.0,16.0,1.0,1.0,3.0,1.0,4.0,3.0,1.0,4.0,6.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2015-02-16
47,8.0,20.0,3.0,1.0,2.0,5.0,6.0,2.0,2.0,3.0,4.0,2.0,0.0,0.0,4.0,0.0,0.0,1.0,2.0,1.0,0.0,2015-02-17
48,3.0,25.0,2.0,1.0,1.0,1.0,5.0,1.0,0.0,9.0,3.0,4.0,1.0,1.0,9.0,5.0,0.0,3.0,0.0,3.0,0.0,2015-02-18
49,7.0,24.0,2.0,1.0,2.0,4.0,5.0,4.0,4.0,0.0,1.0,1.0,0.0,1.0,6.0,1.0,0.0,0.0,0.0,2.0,0.0,2015-02-19
50,5.0,22.0,3.0,0.0,3.0,2.0,3.0,7.0,0.0,7.0,3.0,0.0,10.0,1.0,3.0,8.0,0.0,1.0,0.0,0.0,0.0,2015-02-20
51,7.0,22.0,4.0,2.0,0.0,5.0,10.0,2.0,1.0,5.0,6.0,2.0,2.0,2.0,4.0,1.0,0.0,1.0,1.0,0.0,2.0,2015-02-21
52,1.0,16.0,3.0,1.0,3.0,5.0,7.0,5.0,1.0,3.0,1.0,1.0,2.0,3.0,1.0,6.0,0.0,0.0,1.0,0.0,0.0,2015-02-22
53,0.0,16.0,3.0,1.0,1.0,3.0,1.0,2.0,1.0,3.0,7.0,3.0,0.0,3.0,4.0,3.0,0.0,0.0,0.0,1.0,0.0,2015-02-23
54,1.0,23.0,4.0,1.0,1.0,2.0,3.0,5.0,0.0,6.0,3.0,0.0,1.0,5.0,7.0,4.0,0.0,1.0,0.0,0.0,0.0,2015-02-24
55,1.0,21.0,2.0,0.0,2.0,4.0,3.0,0.0,2.0,2.0,4.0,3.0,1.0,0.0,9.0,1.0,0.0,1.0,0.0,4.0,0.0,2015-02-25
56,2.0,34.0,8.0,0.0,1.0,4.0,4.0,4.0,0.0,1.0,3.0,5.0,5.0,2.0,3.0,5.0,0.0,0.0,0.0,3.0,2.0,2015-02-26
