,Comuna 1,Comuna 10,Comuna 11,Comuna 12,Comuna 13,Comuna 14,Comuna 15,Comuna 16,Comuna 2,Comuna 3,Comuna 4,Comuna 5,Comuna 6,Comuna 7,Comuna 8,Comuna 9,Corregimiento 50,Corregimiento 60,Corregimiento 70,Corregimiento 80,Corregimiento 90,Fecha
59,0.0,6.0,5.0,2.0,6.0,5.0,7.0,7.0,0.0,0.0,6.0,2.0,0.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2015-03-01
60,0.0,28.0,1.0,1.0,1.0,3.0,3.0,4.0,2.0,1.0,3.0,3.0,0.0,5.0,3.0,6.0,0.0,3.0,0.0,0.0,0.0,2015-03-02
61,0.0,12.0,4.0,1.0,0.0,5.0,6.0,6.0,3.0,2.0,6.0,1.0,6.0,3.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,2015-03-03
62,0.0,17.0,12.0,4.0,1.0,4.0,1.0,5.0,0.0,2.0,3.0,10.0,1.0,6.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,2015-03-04
63,0.0,26.0,6.0,2.0,0.0,4.0,1.0,2.0,0.0,1.0,3.0,5.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015-03-05
64,1.0,25.0,8.0,1.0,1.0,2.0,5.0,6.0,0.0,1.0,1.0,1.0,0.0,7.0,0.0,5.0,0.0,0.0,0.0,3.0,0.0,2015-03-06
65,0.0,23.0,6.0,4.0,1.0,7.0,3.0,2.0,0.0,1.0,4.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2015-03-07
66,0.0,7.0,7.0,4.0,2.0,3.0,3.0,2.0,0.0,3.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2015-03-08
67,0.0,18.0,4.0,2.0,3.0,6.0,6.0,5.0,1.0,0.0,1.0,3.0,1.0,4.0,5.0,5.0,0.0,0.0,0.0,1.0,0.0,2015-03-09
68,0.0,13.0,12.0,4.0,0.0,7.0,1.0,8.0,1.0,1.0,0.0,2.0,0.0,3.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,2015-03-10
69,1.0,23.0,1.0,3.0,2.0,1.0,3.0,5.0,0.0,2.0,0.0,2.0,1.0,6.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2015-03-11
70,1.0,14.0,8.0,0.0,0.0,5.0,6.0,13.0,0.0,3.0,2.0,2.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2015-03-12
71,0.0,9.0,8.0,3.0,0.0,12.0,3.0,1.0,0.0,2.0,3.0,7.0,4.0,6.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,2015-03-13
72,2.0,23.0,5.0,5.0,1.0,2.0,2.0,14.0,0.0,2.0,3.0,9.0,0.0,3.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,2015-03-14
73,0.0,14.0,4.0,2.0,1.0,4.0,1.0,0.0,0.0,1.0,3.0,5.0,1.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,2015-03-15
74,0.0,30.0,4.0,0.0,0.0,4.0,2.0,2.0,1.0,1.0,2.0,4.0,1.0,1.0,4.0,1.0,0.0,3.0,1.0,0.0,0.0,2015-03-16
75,0.0,24.0,1.0,3.0,1.0,4.0,1.0,5.0,0.0,0.0,2.0,8.0,4.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2015-03-17
76,0.0,29.0,21.0,3.0,1.0,1.0,2.0,7.0,0.0,1.0,4.0,6.0,0.0,6.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,2015-03-18
77,2.0,25.0,11.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,7.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2015-03-19
78,4.0,30.0,6.0,1.0,6.0,6.0,5.0,5.0,0.0,0.0,2.0,6.0,4.0,1.0,2.0,2.0,0.0,1.0,0.0,3.0,0.0,2015-03-20
79,0.0,11.0,15.0,6.0,3.0,5.0,2.0,5.0,1.0,4.0,1.0,2.0,2.0,2.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,2015-03-21
80,1.0,10.0,0.0,8.0,1.0,5.0,2.0,0.0,1.0,2.0,0.0,2.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,2015-03-22
81,0.0,6.0,6.0,1.0,0.0,7.0,2.0,3.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,2015-03-23
82,1.0,19.0,6.0,1.0,1.0,5.0,8.0,8.0,0.0,3.0,5.0,11.0,1.0,3.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,2015-03-24
83,0.0,19.0,4.0,2.0,2.0,8.0,1.0,2.0,1.0,2.0,3.0,6.0,2.0,0.0,2.0,1.0,1.0,0.0,1.0,3.0,0.0,2015-03-25
84,0.0,16.0,2.0,9.0,4.0,3.0,1.0,6.0,0.0,1.0,3.0,6.0,1.0,5.0,1.0,4.0,0.0,1.0,0.0,0.0,0.0,2015-03-26
85,1.0,15.0,5.0,1.0,0.0,4.0,1.0,4.0,1.0,2.0,4.0,10.0,2.0,3.0,3.0,2.0,0.0,1.0,0.0,2.0,0.0,2015-03-27
